id,bidang,judul_lomba,more_info,tanggal_pendaftaran,deadline_pendaftaran,tingkat,lembaga_penyelenggara,narahubung,deskripsi,biaya_pendaftaran
14,it,UNDIP Tech Innovation,techinnovation@undip.ac.id,18-04-2023,08-09-2023,Universitas,Universitas Diponegoro,6281765432190,Lomba inovasi teknologi yang mendorong mahasiswa untuk menciptakan solusi yang berkelanjutan dan efektif.,Rp 200.000
15,it,UNHAS Cyber Competition,cybercomp@unhas.ac.id,28-08-2024,18-09-2024	,Universitas,Universitas Hasanudin,6281456789012,Kompetisi keamanan siber yang menantang peserta untuk mengamankan sistem dari serangan cyber.,Rp 220.000
16,it,IPB IT Competition	,itcompetition@ipb.ac.id,12-11-2023,02-03-2024,Universitas,Institut Pertanian Bogor,6281098765432,Kompetisi IT yang mengajak mahasiswa untuk mengembangkan aplikasi dan solusi berbasis teknologi terkini.,Rp 250.000
17,it,UB IT Olympiad,itolympiad@ub.ac.id,10-04-2021,31-08-2021,Universitas,Universitas Brawijaya,6281543210987,Olimpiade IT yang menguji keterampilan dan pengetahuan mahasiswa dalam berbagai cabang teknologi informasi.,Rp 225.000
18,it,UNS IT Expo,itexpo@uns.ac.id,22-07-2021,10-09-2021,Universitas,Universitas Sebelas Maret,6281987654321,Pameran teknologi yang menyajikan kemajuan terbaru di bidang IT dan menyediakan workshop bagi peserta.,Rp 175.000
19,it,UNPAD IT Challenge,itchallenge@unpad.ac.id,05-06-2022,28-08-2022	,Universitas,Universitas Padjajaran,6281327000205,Tantangan IT yang mendorong peserta untuk menemukan solusi inovatif dalam mengatasi masalah teknologi.,Rp 165.000
20,essay,UGM Essay Competition,essaycomp@ugm.ac.id,15-03-2021,05-09-2022,Universitas,Universitas Gadjah Mada,6281234567890,Lomba menulis esai yang menantang mahasiswa untuk mengemukakan pandangan mereka tentang isu global.,Rp 150.000
21,essay,UI Essay Fest,essayfest@ui.ac.id,22-07-2023	,15-09-2023	,Universitas,Universitas Indonesia,6281123456789,Festival esai tahunan yang menekankan pada kreativitas dan penelitian mendalam di berbagai topik.,Rp 160.000
22,essay,UI Essay Writing,http://bit.ly/CompfestEssay2023,20-08-2023,12-09-2023,Universitas,Universitas Indonesia,6281123456789,Kompetisi menulis yang mengundang mahasiswa untuk menyumbangkan esai tentang inovasi dan teknologi.,Rp 140.000
23,essay,UNDIP National Essay,http://bit.ly/UNDIPNEssay,18-04-2023,08-09-2023,Universitas,Universitas Diponegoro,6281765432190,Lomba esai nasional yang menyoroti isu-isu kontemporer dan mempromosikan diskusi intelektual.,Rp 175.000
24,essay,IPB Agriculture Essay,agressay@ipb.ac.id,12-11-2023,02-03-2024,Universitas,Institut Pertanian Bogor,6281098765432,Kompetisi menulis yang berfokus pada sektor pertanian dan bagaimana inovasi dapat membantu pembangunan berkelanjutan.,Rp 180.000
25,essay,UNPAD Essay Competition,http://bit.ly/UNPADEssay,05-06-2022,28-08-2022,Universitas,Universitas Padjajaran,6281327000205,Lomba esai yang menguji kemampuan analisis dan argumentasi mahasiswa terhadap isu-isu sosial dan ekonomi.,Rp 130.000
26,essay,UNS Essay Challenge,essaychallenge@uns.ac.id	,22-07-2024,10-09-2024,Universitas,Universitas Sebelas Maret,6281987654321,Tantangan esai yang menantang peserta untuk mengatasi masalah sosial melalui solusi berbasis penelitian.,Rp 120.000
27,essay,ITS Essay Writing Competition	,essaywriting@its.ac.id,25-05-2021,15-09-2021,Universitas,Institut Teknologi Sepuluh November,6281432109876,Lomba menulis yang mengajak mahasiswa untuk mengeksplorasi solusi untuk isu lingkungan melalui esai.,Rp 110.000
28,essay,UB Social Essay Competition	,socialessay@ub.ac.id,10-04-2023,31-08-2023	,Universitas,Universitas Brawijaya,6281543210987,Kompetisi esai yang mengajak partisipan untuk mendiskusikan isu sosial dan memberikan solusi yang praktis.,Rp 115.000
29,essay,UNHAS Essay Writing,essaywriting@unhas.ac.id,28-08-2024,18-09-2024,Universitas,Universitas Hasanudin,6281456789012,Lomba menulis yang mengundang esai tentang berbagai tema yang berkaitan dengan pembangunan sosial dan kebudayaan.,Rp 125.000
30,poster,ITS Environmental Poster,bit.ly/PosterITS2024,28-08-2024,18-09-2024,Universitas,Institut Teknologi Sepuluh November,6281456789012,"Kompetisi poster yang fokus pada tema lingkungan, mendorong kesadaran dan solusi kreatif untuk isu lingkungan.",Rp 100.000
31,poster,UNPAD Cultural Poster Challenge,http://bit.ly/UNPADCulturalPoster2022,05-06-2022,28-08-2022,Universitas,Universitas Padjajaran,6281327000205,Tantangan desain poster yang merayakan dan menggali kebudayaan melalui ekspresi visual.,Rp 110.000
32,poster,UB Art Poster Contest,artposter@ub.ac.id	,10-04-2023,31-08-2023,Universitas,Universitas Brawijaya,6281543210987,Kontes seni poster yang mengundang kreativitas dalam menginterpretasikan tema seni dan budaya melalui desain grafis.,Rp 120.000
33,poster,ITS Green Poster Competition,greenposter@its.ac.id,25-05-2022,15-09-2022,Universitas,Institut Teknologi Sepuluh November,6281432109876,Lomba poster yang mendorong partisipan untuk menciptakan karya yang mempromosikan kelestarian lingkungan.,Rp 130.000
34,poster,UNDIP Sustainable Poster,http://bit.ly/UNDIPSustainablePoster2023,18-04-2023	,08-09-2023,Universitas,Universitas Diponegoro,6281765432190,Kompetisi desain poster yang bertujuan meningkatkan kesadaran tentang keberlanjutan melalui seni grafis.,Rp 140.000
35,poster,UNHAS Eco Poster Competition,ecoposter@unhas.ac.id	,28-08-2024,18-09-2024,Universitas,Universitas Hasanudin,6281456789012,"Kompetisi desain poster yang fokus pada isu-isu ekologi, mengajak peserta untuk menggali solusi kreatif.",Rp 150.000
36,poster,UNS Poster & Visual Design,posterdesign@uns.ac.id,22-07-2023	,10-09-2023,Universitas,Universitas Sebelas Maret,6281987654321,Lomba desain poster dan visual yang mempromosikan inovasi dan kreativitas dalam komunikasi visual.,Rp 160.000
37,poster,USU Social Poster Contest,"http://bit.ly/USUSocialPoster2022
",07-03-2022,29-08-2022	,Universitas,Universitas Sumatera Utara,6281678901234,Kontes poster yang mengajak peserta untuk mengatasi masalah sosial melalui desain poster yang berdampak.,Rp 170.000
38,poster,IPB Agro Poster Competition,"http://bit.ly/IPBAgroPoster2024
",12-11-2023,02-03-2024,Universitas,Institut Pertanian Bogor,6281098765432,"Kompetisi poster yang berfokus pada pertanian berkelanjutan, mengajak peserta untuk menggambarkan inovasi agrikultur.",Rp 180.000
39,poster,UGM Cultural Heritage Poster,heritageposter@ugm.ac.id	,12-03-2023,25-09-2023,Universitas,Universitas Gadjah Mada,6281234567890,Lomba desain poster yang merayakan warisan budaya melalui kreativitas visual dan desain grafis.,Rp 190.000
40,videografi,UGM Creative Video Contest,videocontest@ugm.ac.id,10-04-2023,01-09-2023,Universitas,Universitas Gadjah Mada,6281234567890,Kontes video kreatif yang mengajak peserta untuk mengekspresikan ide-ide inovatif melalui media visual.,Rp 200.000
41,videografi,UI Film & Video Festival,uifilmfestival@ui.ac.id,15-06-2024,05-09-2024,Universitas,Universitas Indonesia,6281123456789,Festival film dan video yang menampilkan karya dari talenta muda di bidang sinematografi dan produksi video.,Rp 250.000
42,videografi,UNS Short Film Competition,shortfilm@uns.ac.id,22-07-2023,12-09-2023,Universitas,Universitas Sebelas Maret,6281987654321,Kompetisi film pendek yang menantang kreativitas peserta dalam menyampaikan cerita melalui visual yang menarik.,Rp 220.000
43,videografi,ITS Video Innovation Challenge,videoinnovation@its.ac.id,12-05-2023,25-09-2023,Universitas,Institut Teknologi Sepuluh November,6281432109876,Tantangan inovasi video yang menguji kemampuan peserta dalam menciptakan konten yang edukatif dan inovatif.,Rp 230.000
44,videografi,UNDIP Visual Media Competition,visualmedia@undip.ac.id,20-04-2024,10-09-2024,Universitas,Universitas Diponegoro,6281765432190,Kompetisi media visual yang mempromosikan penggunaan teknologi dalam penciptaan karya seni.,Rp 240.000
45,videografi,IPB Agrimedia Video Contest,agrimediavideo@ipb.ac.id,18-11-2023,02-04-2024,Universitas,Institut Pertanian Bogor,6281098765432,"Kontes video yang fokus pada tema pertanian, mengeksplorasi cara-cara kreatif untuk mempromosikan agrikultur.",Rp 210.000
46,videografi,UNPAD Documentary Competition,documentary@unpad.ac.id,10-06-2022,20-09-2022,Universitas,Universitas Padjajaran,6281327000205,Lomba dokumenter yang mengundang peserta untuk menggali cerita mendalam dan menyajikan dalam bentuk dokumenter.,Rp 200.000
47,videografi,UB Video Creativity Competition,videocreation@ub.ac.id,05-04-2022,15-09-2022,Universitas,Universitas Brawijaya,6281543210987,Kompetisi kreativitas video yang mengajak peserta untuk mengembangkan konsep unik dan menghasilkan karya orisinal.,Rp 190.000
48,videografi,UNHAS Cinematic Challenge,cinematic@unhas.ac.id,28-08-2024,18-09-2024,Universitas,Universitas Hasanudin,6281456789012,Tantangan sinematik yang mendorong pembuatan film yang memperkaya wawasan tentang budaya dan sosial.,Rp 180.000
49,videografi,USU Visual Storytelling Contest,visualstory@usu.ac.id,12-03-2023,29-08-2023,Universitas,Universitas Sumatera Utara,6281678901234,Kontes storytelling visual yang mengeksplorasi cara baru dalam menceritakan kisah melalui media visual.,Rp 170.000
50,videografi,UNJ Video Documentary Competition,videodoc@unj.ac.id,15-05-2023,15-08-2023,Universitas,Universitas Negeri Jakarta,6281876543210,Kompetisi dokumenter yang mengajak peserta untuk menyelidiki dan menyajikan tema penting secara mendalam.,Rp 160.000
51,bisnis,TECFEST 2024 National Business Competition : Business Case Competition,https://drive.google.com/drive/folders/1flC0zDGGJ-L9X8-Ho0GRmpoD__TiX8Em,29-07-2024,07-08-2024,Universitas,Institut Teknologi Bandung,6282738201922,Lomba kasus bisnis yang menantang peserta untuk mengembangkan dan mempresentasikan solusi bisnis yang inovatif.,Rp 150.000
52,bisnis,TECFEST 2024 National Business Competition : Business Plan Competition,https://drive.google.com/file/d/1VLuePIlxeKGlVlsy2Dyy681Jpfs-EXdw/view,29-07-2024,07-08-2024,Universitas,Institut Teknologi Bandung,6281234749495,Kompetisi perencanaan bisnis yang menguji kemampuan peserta dalam menyusun dan mempertahankan rencana bisnis.,Rp 140.000
53,bisnis,MSS Consulting Case Challenge,bit.ly/BookletMCC2024,15-08-2024,07-09-2024,Universitas,Universitas Indonesia,6281327000205,Tantangan konsultasi kasus yang mengajak peserta untuk menyelesaikan studi kasus nyata dari industri.,Rp 130.000
54,bisnis,Youngpreneur X CBCC : Business Case Competition,https://linktr.ee/youngpreneurcomp,19-08-2024,28-09-2024,Universitas,Universitas Brawijaya,628124353729,Kompetisi kasus bisnis yang menargetkan inovasi dan solusi kreatif dalam bidang bisnis dan kewirausahaan.,Rp 120.000
55,bisnis,Youngpreneur X CBCC : Business Plan Competition,https://linktr.ee/youngpreneurcomp,19-08-2024,13-09-2024,Universitas,Universitas Brawijaya,628162537910,Lomba rencana bisnis yang menguji kemampuan peserta dalam mengembangkan dan mempertahankan proposal bisnis.,Rp 110.000
56,bisnis,Youngpreneur X CBCC : Business Model Canvas,https://linktr.ee/youngpreneurcomp,14-08-2024,02-09-2024,Universitas,Universitas Brawijaya,628127373940,Kontes model bisnis yang mendorong peserta untuk merancang dan mempresentasikan model bisnis yang efektif.,Rp 100.000
57,bisnis,Futurest Business Case Competition,its.id/m/FBCC2023,28-12-2023,05-02-2024,Universitas,Institut Teknologi Sepuluh November,628127623691,Lomba kasus bisnis dengan fokus pada inovasi dan strategi bisnis untuk masa depan.,Rp 90.000
58,bisnis,Sebelas Maret Business Case Competition,https://uns.id/SMBCC24PreliminaryGuidebook,25-07-2024,11-08-2024,Universitas,Universitas Sebelas Maret,6282139473920,"Kompetisi kasus bisnis yang menguji kemampuan peserta dalam analisis, strategi, dan eksekusi dalam lingkungan bisnis.",Rp 80.000
59,bisnis,Economic Finance Fabulous Project 2024 Business case,11theffect.carrd.co,10-07-2024,22-07-2024,Universitas,Universitas Diponegoro,6281234562718,Proyek kasus yang menantang peserta untuk mengembangkan solusi untuk masalah bisnis aktual.,Rp 70.000
60,bisnis,International Company Case and Conference,link.tree/idsc2023,17-08-2024,24-08-2024,Universitas,IDSC,628172637190,Konferensi dan kompetisi kasus yang menarik partisipasi internasional untuk membahas dan memecahkan kasus bisnis.,Rp 60.000
61,it,Google Code Jam 2022,https://codingcompetitionsonair.withgoogle.com/,01-04-2022,05-08-2022,Internasional,Google,626363728100,Kompetisi pemrograman global yang mengajak pengembang dari seluruh dunia untuk menyelesaikan tantangan algoritmik yang kompleks.,Rp 350.000
62,it,Facebook Hacker Cup 2023,https://web.facebook.com/codingcompetitions/hacker-cup?_rdc=1&_rdr,13-07-2023,18-08-2023,Internasional,Facebook,623929013739,Tantangan pemrograman yang diadakan oleh Facebook untuk menguji kemampuan dan kecepatan pemrograman para peserta secara internasional.,Rp 300.000
63,it,Microsoft Imagine Cup 2023,https://imaginecup.microsoft.com/en-us,10-09-2022,10-02-2023,Internasional,Microsoft,623838381010,Kompetisi teknologi global yang mendorong inovasi di kalangan pelajar untuk menciptakan aplikasi yang dapat mengubah dunia.,Rp 250.000
64,it,NYU Cybersecurity Awareness Worldwide Capture the Flag (CSAW CTF) 2023,https://www.csaw.io/ctf,01-08-2023,01-10-2023,Internasional,csaw,623838811001,Kompetisi keamanan siber yang menantang peserta untuk menemukan dan memanfaatkan kerentanan dalam sistem yang disimulasikan.,Rp 400.000
65,it,Google Kick Start 2023,kickstart-support@google.com,01-01-2023,10-03-2023,Internasional,Google,623747299201,Seri kompetisi pemrograman yang diadakan oleh Google untuk membawa komunitas pemrograman global bersama.,Rp 450.000
66,it,Turing Cup 2023,https://www.turing.com/,01-03-2023,05-07-2023,Internasional,Turing,62384982981,Kompetisi yang menguji kemampuan pemrograman dan pemecahan masalah dalam format kompetitif.,Rp 375.000
67,it,Hash Code by Google 2023,https://gdg.community.dev/events/details/google-gdg-north-lebanon-presents-hash-code-24-february-register-now/,12-01-2023,24-02-2023,Internasional,Google,623819010100,Lomba pemrograman yang mengundang komunitas pengembang untuk menyelesaikan masalah pemrograman dalam tim.,Rp 425.000
68,it,ACM CHI Student Game Competition 2023,https://chi2024.acm.org/for-authors/student-design-competition/,01-10-2023,08-12-2023,Internasional,ACM,623838930100,Kompetisi desain permainan untuk mahasiswa yang mendorong inovasi dan kreativitas dalam pengembangan permainan.,Rp 500.000
69,it,MIT Reality Virtually Hackathon 2020,https://www.mitrealityhack.com/,20-10-2019,08-12-2023,Internasional,Massachusetts Institute of Technology,6237480101,Hackathon yang menantang peserta untuk mengembangkan solusi VR/AR yang dapat diterapkan dalam berbagai bidang.,Rp 550.000
70,it,NVIDIA AI Challenge 2022,https://www.aicitychallenge.org/,01-07-2022,15-08-2022,Internasional,NVIDIA,62733391910,Tantangan yang mengundang peneliti dan pengembang untuk menerapkan AI dalam lalu lintas kota dan analisis video.,Rp 600.000
71,videografi,Lomba Videografi Nasional,https://ipb.link/panduan-lomba-videografi-fbbbn2023,26-07-2024,08-08-2024,Nasional,Institut Pertanian Bogor,628123568877,Lomba videografi yang mengundang para pembuat film untuk menunjukkan kemampuan mereka dalam membuat video yang inovatif.,Rp 350.000
72,videografi,Austin Film Festival - Short Film Competition,https://austinfilmfestival.com/?gad_source=1&gclid=CjwKCAjwlbu2BhA3EiwA3yXyu3xojwN4z3Pzd3jV41IlbUchw3hbfNCUfni3mEhvI9EpHmDpZrhD_hoCwKMQAvD_BwE,26-07-2024,08-08-2024,Internasional,Austin Fest,62388303101,"Kompetisi film pendek yang diadakan di Festival Film Austin, mendorong pembuat film untuk menampilkan kreativitas mereka.",Rp 300.000
73,videografi,Raindance Film Festival - Shorts Competition,https://raindance.org/,26-07-2024,08-08-2024,Internasional,Raindance,6283811001001,"Festival film yang terkenal dengan kompetisi film pendek, menantang pembuat film untuk menunjukkan karya terbaik mereka.",Rp 450.000
74,videografi,Chicago International Film Festival - Short Film Competition,https://www.chicagofilmfestival.com/,26-07-2024,08-08-2024,Internasional,CIFF,6238380282829,Lomba film pendek internasional yang menampilkan karya-karya terbaik dari pembuat film di seluruh dunia.,Rp 400.000
75,videografi,London Short Film Festival,https://www.shortfilms.org.uk/,26-07-2024,08-08-2024,Internasional,London Film Festival,6283918820100,Festival film yang mendorong pembuat film independen untuk menunjukkan karya mereka dalam berbagai genre dan format.,Rp 500.000
76,videografi,Annecy International Animation Film Festival - Short Film Competition,https://www.annecyfestival.com/,26-07-2024,08-08-2024,Internasional,Annecy,6283839180820,"Kompetisi film pendek animasi yang merupakan bagian dari Festival Animasi Annecy, salah satu acara terbesar dan paling bergengsi di dunia untuk animasi. Kompetisi ini terbuka bagi pembuat film dari seluruh dunia yang mengirimkan film animasi berdurasi pendek.",Rp 140.000
77,videografi,PEN America Screenwriting and Video Competition,https://pen.org/,26-07-2024,08-08-2024,Internasional,PEN,6273738819310,"Lomba yang diselenggarakan oleh PEN America, sebuah organisasi nirlaba yang fokus pada kebebasan berekspresi dalam literatur dan seni.",Rp 370.000
78,videografi,Palm Springs International ShortFest,https://www.psfilmfest.org/,26-07-2024,08-08-2024,Internasional,International ShortFest,627318198282,"Festival film pendek terbesar di Amerika Serikat, Palm Springs ShortFest mempersembahkan karya film pendek dari seluruh dunia. Kompetisi ini memberikan kesempatan kepada sutradara untuk menampilkan karyanya dan mendapatkan penghargaan.",Rp 280.000
79,videografi,Encounters Film Festival,https://www.encounters.film/,26-07-2024,08-08-2024,Internasional,Encounters,628398128109,Encounters adalah festival film pendek dan animasi di Inggris yang memberikan penghargaan kepada karya sinematik inovatif dan kreatif. Fokusnya pada film pendek dan animasi yang berkualitas.,Rp 190.000
80,videografi,Tribeca Film Festival - Tribeca X Award,https://www.tribecafilm.com/,26-07-2024,08-08-2024,Internasional,Tribeca,628391829830,"Penghargaan ini menghargai film pendek yang dibiayai oleh merek, dengan karya yang menggabungkan kreativitas artistik dan tujuan komersial. Tribeca X Award bagian dari Tribeca Film Festival.",Rp 430.000
81,poster,International Poster Biennale in Warsaw,https://warsawposterbiennale.com/,05-04-2023,06-05-2023,Internasional,Warsaw poster,627373838191,"Biennale ini merupakan acara dua tahunan yang diadakan di Warsawa, Polandia, dan menjadi ajang bagi desainer grafis untuk memamerkan karya poster mereka yang paling kreatif dan inovatif.",Rp 320.000
82,poster,Posterheroes - International Poster Competition,https://www.posterheroes.org/,05-04-2023,06-05-2023,Internasional,posterheroes,627373388391,"Kompetisi poster internasional yang berfokus pada isu sosial. Setiap tahun, peserta diajak untuk merancang poster yang membahas tema sosial yang relevan dengan tujuan menginspirasi perubahan.",Rp 210.000
83,poster,Golden Turtle - Ecoposter Contest,https://wncontest.ru/en/design/,05-04-2023,06-05-2023,Internasional,golden turtle,62383781919,"Kompetisi poster yang menekankan pada kesadaran lingkungan. Kontes ini adalah bagian dari Golden Turtle Festival, sebuah acara internasional yang berfokus pada isu lingkungan dan konservasi alam.",Rp 110.000
84,poster,Graphic Matters - Open Call Poster Competition,https://graphicmatters.nl/,05-04-2023,06-05-2023,Internasional,graphic matters,62833939910,Kompetisi ini mengundang desainer grafis untuk mengirimkan karya poster yang berkaitan dengan isu-isu komunikasi visual. Kompetisi ini terbuka untuk segala jenis poster dengan tema yang bebas.,Rp 460.000
85,poster,Mut zur Wut - International Poster Competition,https://mutzurwut.com/,05-04-2023,06-05-2023,Internasional,mut zur wut,628383100019,"Kompetisi poster internasional yang berasal dari Jerman. Nama ""Mut zur Wut"" berarti ""Berani untuk Marah,"" mengajak peserta untuk merespons isu sosial dengan cara yang provokatif melalui seni poster.",Rp 250.000
86,poster,Poster For Tomorrow - International Poster Competition,https://www.posterfortomorrow.org/,05-04-2023,06-05-2023,Internasional,poster for tomorrow,6283831991919,Kompetisi tahunan yang menekankan pada hak asasi manusia. Peserta diundang untuk membuat poster yang mendukung kebebasan dan hak-hak universal manusia dengan tema yang berbeda setiap tahunnya.,Rp 350.000
87,poster,World Biennial Exhibition of Student Poster Novi Sad,https://www.studentbiennial-ns.com/,05-04-2023,06-05-2023,Internasional,world biennial ,62838371881,"Biennale ini diselenggarakan di Novi Sad, Serbia, dan dikhususkan bagi mahasiswa desain grafis. Kompetisi ini merayakan kreativitas generasi muda dalam bidang desain poster.",Rp 160.000
88,poster,TPT Festival - International Competition of Political Posters,https://tpt.net.pl/,05-04-2023,06-05-2023,Internasional,TPT,6286117881919,Kompetisi poster politik internasional yang menyoroti tema-tema politik kontemporer. Para desainer diundang untuk mengekspresikan pandangan politik mereka melalui media poster.,Rp 400.000
89,poster,Luzerner Theater Poster Competition,https://www.luzernertheater.ch/,05-04-2023,06-05-2023,Internasional,Luzerner,62738383919,"Kompetisi ini diadakan oleh Luzerner Theater, Swiss. Peserta diminta merancang poster yang menarik perhatian untuk promosi berbagai produksi teater.",Rp 290.000
90,poster,Ecuador Poster Bienal,https://ecuadorposterbienal.com/,05-04-2023,06-05-2023,Internasional,Ecuador Bienal,62838849419,"Biennale ini merupakan ajang internasional bagi desainer untuk menunjukkan kreativitas mereka dalam desain poster dengan berbagai tema, seperti budaya, lingkungan, dan sosial.",Rp 120.000
91,essay,EcoFinsc Essay Competition,bit.ly/RegistrationFINEST2024,12-06-2024,12-07-2024,Universitas,Universitas Diponegoro,62623689191,Kompetisi esai yang menekankan pada isu keberlanjutan dan ekologi. Peserta diminta untuk menulis esai yang berfokus pada bagaimana mencapai keseimbangan antara pembangunan ekonomi dan pelestarian lingkungan.,Rp 330.000
92,essay,Commonwealth Essay Competition,https://www.royalcwsociety.org/essay-competition/qcec2024,08-09-2023,18-10-2023,Internasional,Commonwealth SOciety,6263738910,"Kompetisi esai tertua dan terbesar di dunia, diselenggarakan oleh The Royal Commonwealth Society. Kompetisi ini terbuka untuk anak-anak muda di negara-negara anggota Commonwealth dengan tema yang berhubungan dengan isu-isu global.",Rp 500.000
93,essay,John Locke Institute Essay Competition,https://www.johnlockeinstitute.com/essay-competition,08-09-2023,18-10-2023,Internasional,Locke Institute,63848482002,"Kompetisi esai internasional yang didedikasikan untuk siswa yang tertarik pada filsafat, politik, ekonomi, dan sejarah. Esai-esai yang diajukan harus menunjukkan kedalaman pemikiran dan analisis kritis.",Rp 230.000
94,essay,International Essay Contest for Young People by Goi Peace Foundation,https://www.goipeace.or.jp/en/work/essay-contest/,08-09-2023,18-10-2023,Internasional,Goi Peace Foundation,623838811001,Kompetisi esai internasional yang diselenggarakan oleh Goi Peace Foundation bertujuan untuk mempromosikan pemikiran dan tindakan menuju perdamaian dunia. Kontes ini terbuka untuk peserta muda dari seluruh dunia.,Rp 100.000
95,essay,The Queen’s Commonwealth Essay Competition,https://www.royalcwsociety.org/essay-competition,08-09-2023,18-10-2023,Internasional,Queens Commonwealth,62834780910,"Kompetisi esai yang diselenggarakan oleh Ratu Inggris untuk anggota negara-negara Commonwealth. Peserta diminta untuk menulis tentang topik yang mengangkat nilai-nilai bersama, kebudayaan, dan masalah sosial",Rp 450.000
96,essay,The Royal Economic Society Essay Competition,https://res.org.uk/,08-09-2023,18-10-2023,Internasional,Royal Economic,62733801010,Kompetisi esai tahunan yang mengundang siswa dari seluruh dunia untuk menulis tentang isu-isu ekonomi. Kompetisi ini bertujuan untuk mendorong pemahaman mendalam tentang ekonomi.,Rp 260.000
97,essay,Global Changemakers Essay Competition,https://www.global-changemakers.net/,08-09-2023,18-10-2023,Internasional,Global Changemakers,62818278289,"Kompetisi ini mengundang kaum muda untuk menulis esai yang menyuarakan ide-ide perubahan sosial di berbagai sektor seperti lingkungan, pendidikan, dan hak asasi manusia.",Rp 380.000
98,essay,Atlas Shrugged Essay Contest by Ayn Rand Institute,https://aynrand.org/students/essay-contests/atlas-shrugged/?utm_term=scholarship%20essay&utm_campaign=Atlas%2BEssay%2BContest%2B2023%2BV2&utm_source=adwords&utm_medium=ppc&hsa_acc=3459301704&hsa_cam=19749898058&hsa_grp=147344513500&hsa_ad=649719682711&hsa_src=g&hsa_tgt=kwd-17629711&hsa_kw=scholarship%20essay&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=CjwKCAjwlbu2BhA3EiwA3yXyu48XfXsJCLrCMW4d48y4w9Nc81hHV4fC9Tz2BTVViCo-MQy0-y3qSBoCBnAQAvD_BwE,08-09-2023,18-10-2023,Internasional,Ayn rand Institute,62738381001,"Kompetisi esai yang diselenggarakan oleh Ayn Rand Institute, meminta peserta untuk menganalisis tema dan karakter dalam novel Ayn Rand ""Atlas Shrugged"".",Rp 170.000
