id,judul_beasiswa,tanggal_pendaftaran,deadline_pendaftaran,tingkat,lembaga_penyelenggara,syarat_ketentuan,totaluang_beasiswa,more_info,deskripsi
10,Beasiswa DAAD,01-03-2024,31-05-2024,"S2, S3",Pemerintah Jerman,"GPA minimal 3.2, Proposal penelitian, Kemampuan bahasa",EUR 20.000/tahun,daad@daad.de,"Beasiswa yang ditawarkan oleh pemerintah Jerman untuk mahasiswa internasional yang ingin melanjutkan studi di berbagai jenjang di universitas-universitas di Jerman. Beasiswa ini biasanya mencakup biaya kuliah, biaya hidup, dan asuransi kesehatan."
11,Beasiswa Amgen Scholars,01-07-2024,31-08-2024,S1,Amgen Foundation,"Mahasiswa aktif, GPA minimal 3.5, Minat penelitian",USD 10.000/tahun,scholars@amgen.com,"Program ini ditawarkan kepada mahasiswa sarjana yang ingin mengikuti program penelitian di bidang ilmu biomedis di berbagai universitas di dunia. Beasiswa ini mencakup biaya program, akomodasi, dan tunjangan hidup."
12,Beasiswa Gates Millenium,01-08-2024,31-10-2024,"S1, S2",Bill & Melinda Gates Foundation,"Mahasiswa aktif, GPA minimal 3.3, TOEFL/IELTS diperlukan",USD 12.000/tahun,scholarships@gatesfoundation.org,"Beasiswa prestisius di Amerika Serikat yang ditujukan untuk mahasiswa minoritas yang memiliki prestasi akademik tinggi dan menunjukkan potensi kepemimpinan. Beasiswa ini mencakup seluruh biaya kuliah, biaya hidup, dan biaya buku."
13,Beasiswa INPEX Scholarship,01-09-2024,31-10-2024,"S2, S3",INPEX Corporation,"GPA minimal 3.5, Mahasiswa teknik, Kemampuan bahasa Jepang",JPY 1.500.000/bulan,scholarship@inpex.co.jp,"Beasiswa ini diberikan oleh INPEX Corporation bagi mahasiswa Indonesia yang ingin melanjutkan studi pascasarjana di Jepang. Program ini mencakup biaya kuliah, tiket pesawat, dan tunjangan hidup."
14,Beasiswa New Zealand Aid,01-10-2024,31-12-2024,"S1, S2, S3",Pemerintah New Zealand,"GPA minimal 3.0, Komitmen kembali ke negara asal",NZD 20.000/tahun,nzscholarships@mfat.govt.nz,"Beasiswa ini disediakan oleh pemerintah Selandia Baru untuk pelajar internasional yang ingin melanjutkan studi di universitas Selandia Baru. Beasiswa ini mencakup biaya kuliah, tunjangan hidup, dan biaya perjalanan."
15,Beasiswa Beasiswa Anak Bangsa,01-02-2024,31-03-2024,S1,Yayasan Anak Bangsa,"IPK minimal 3.2, Mahasiswa aktif",Rp 15.000.000/tahun,info@yayasananakbangsa.org,Beasiswa ini disediakan oleh berbagai yayasan dan perusahaan di Indonesia untuk mendukung mahasiswa berprestasi yang membutuhkan bantuan finansial. Beasiswa ini mencakup biaya kuliah dan tunjangan hidup.
16,Beasiswa Tokopedia Scholarship,01-04-2024,31-05-2024,"S1, S2",Tokopedia Foundation,"IPK minimal 3.5, Minat dalam teknologi dan inovasi",Rp 25.000.000/tahun,beasiswa@tokopedia.com,"Beasiswa ini ditawarkan oleh Tokopedia bagi mahasiswa berprestasi di Indonesia yang ingin melanjutkan studi dalam bidang teknologi, bisnis, atau ilmu terkait lainnya. Program ini mencakup biaya kuliah dan pelatihan pengembangan diri."
17,Beasiswa Astra1st,01-05-2024,31-07-2024,S1,Astra International,"IPK minimal 3.5, Mahasiswa aktif, Minat dalam leadership",Rp 10.000.000/tahun,astra1st@astra.co.id,"Program beasiswa ini disediakan oleh Astra International bagi mahasiswa berprestasi yang ingin mengembangkan karir di bidang teknik dan manajemen. Selain dukungan finansial, program ini juga menyediakan pembinaan karir."
18,Beasiswa Cargill Global Scholars,01-06-2024,31-08-2024,"S1, S2",Cargill Foundation,"Mahasiswa aktif, GPA minimal 3.5, Proposal penelitian",USD 5.000/tahun,scholars@cargill.com,"Beasiswa ini ditujukan bagi mahasiswa di bidang pertanian, pangan, dan nutrisi yang memiliki potensi kepemimpinan. Penerima beasiswa akan mendapatkan bantuan finansial dan pelatihan kepemimpinan global."
19,Beasiswa Beasiswa PT Pama,01-07-2024,31-08-2024,S1,PT Pamapersada Nusantara,"Mahasiswa aktif, IPK minimal 3.0, Terlibat kegiatan sosial",Rp 8.000.000/tahun,scholarship@ptpama.com,"Beasiswa ini diberikan oleh PT Pamapersada Nusantara kepada mahasiswa berprestasi di Indonesia dan mendukung mahasiswa yang berminat di bidang teknik. Selain dukungan finansial, penerima beasiswa juga akan mendapatkan kesempatan magang di perusahaan tersebut."
20,Beasiswa Maybank Foundation,01-08-2024,30-09-2024,S1,Maybank Foundation,"IPK minimal 3.3, Mahasiswa aktif, Minat dalam ekonomi dan keuangan",Rp 12.000.000/tahun,beasiswa@maybankfoundation.org,"Beasiswa ini diberikan oleh Maybank kepada mahasiswa yang berprestasi di Asia Tenggara.  Beasiswa yang diberikan oleh Maybank Foundation untuk mendukung mahasiswa yang berprestasi dan memiliki potensi untuk berkontribusi pada masyarakat. Program ini mencakup biaya kuliah penuh, tunjangan hidup, serta kesempatan untuk berkarir di Maybank."
21,Beasiswa Shell Scholarship,01-09-2024,31-10-2024,"S1, S2",Shell Global,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Shell menawarkan beasiswa bagi mahasiswa yang ingin melanjutkan studi di bidang energi, lingkungan, atau ilmu terkait lainnya. Penerima beasiswa mendapatkan dukungan finansial serta pelatihan karir di Shell."
22,Beasiswa Internasional,01-10-2024,31-01-2025,S1,Erasmus Mundus,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Program beasiswa yang didanai oleh Uni Eropa yang memungkinkan mahasiswa dari berbagai negara untuk belajar di konsorsium universitas di Eropa. Beasiswa ini mencakup biaya kuliah, biaya hidup, dan biaya perjalanan."
23,Beasiswa Internasional,01-02-2024,31-01-2025,S1,Fullbright program,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Program beasiswa Fulbright diberikan oleh pemerintah Amerika Serikat untuk mahasiswa internasional yang ingin melanjutkan studi di AS. Beasiswa ini mencakup biaya kuliah, tiket pesawat, biaya hidup, dan asuransi kesehatan."
24,Beasiswa Internasional,01-02-2024,31-01-2025,S1,Australia Award,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Program beasiswa yang lebih luas dari Australia Awards Scholarships, mencakup berbagai jenis beasiswa dan program pelatihan."
25,Beasiswa Internasional,01-02-2024,31-01-2025,S1,MEXT Scholarship,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"MEXT (Monbukagakusho) Scholarship adalah beasiswa yang ditawarkan oleh pemerintah Jepang kepada pelajar internasional untuk melanjutkan pendidikan di Jepang, mencakup biaya kuliah, akomodasi, serta tunjangan bulanan."
26,Beasiswa Internasional,01-02-2024,31-01-2025,S1,Vanier Canada,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa ini disediakan oleh pemerintah Kanada untuk mahasiswa pascasarjana yang memiliki prestasi akademik tinggi. Beasiswa ini mencakup biaya kuliah, biaya hidup, dan tunjangan penelitian."
27,Beasiswa Pemerintah,01-02-2024,31-01-2025,S1,Swedish Institute,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa ini diberikan oleh pemerintah Swedia bagi mahasiswa internasional yang ingin melanjutkan studi pascasarjana di universitas di Swedia. Beasiswa ini mencakup biaya kuliah, biaya hidup, dan tunjangan perjalanan."
28,Beasiswa Pemerintah,01-02-2024,31-01-2025,S1,Vanier Canada Graduate Scholarships,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa ini disediakan oleh pemerintah Kanada untuk mahasiswa pascasarjana yang memiliki prestasi akademik tinggi. Beasiswa ini mencakup biaya kuliah, biaya hidup, dan tunjangan penelitian."
29,Beasiswa Pemerintah,01-02-2024,31-01-2025,S1,Clarendon Fund Scholarships,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,Beasiswa Clarendon ditawarkan oleh Universitas Oxford kepada mahasiswa pascasarjana internasional yang berprestasi. Beasiswa ini mencakup biaya kuliah dan biaya hidup penuh.
30,Beasiswa Pengembangan Karir,01-02-2024,31-01-2025,S1,Google Anita Borg Memorial Scholarship,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,Beasiswa ini diberikan oleh Google kepada mahasiswa perempuan yang berprestasi di bidang teknologi dan ilmu komputer. Beasiswa ini mencakup biaya kuliah dan kesempatan untuk berpartisipasi dalam program pengembangan Google.
31,Beasiswa Pendidikan Tinggi,01-02-2024,31-01-2025,S1,Daad Sholarsip,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa yang ditawarkan oleh pemerintah Jerman untuk mahasiswa internasional yang ingin melanjutkan studi di berbagai jenjang di universitas-universitas di Jerman. Beasiswa ini biasanya mencakup biaya kuliah, biaya hidup, dan asuransi kesehatan."
32,Beasiswa Pendidikan Tinggi,01-02-2024,31-01-2025,S1,Australia Awards Scholarships,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa pemerintah Australia yang memberikan kesempatan kepada mahasiswa internasional untuk belajar di berbagai tingkat pendidikan di perguruan tinggi Australia. Beasiswa ini mencakup biaya kuliah, biaya hidup, dan biaya perjalanan."
33,Beasiswa Pendidikan Tinggi,01-02-2024,31-01-2025,S1,Gates Millennium Scholars Program,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa prestisius di Amerika Serikat yang ditujukan untuk mahasiswa minoritas yang memiliki prestasi akademik tinggi dan menunjukkan potensi kepemimpinan. Beasiswa ini mencakup seluruh biaya kuliah, biaya hidup, dan biaya buku."
34,Beasiswa Pendidikan Tinggi,01-02-2024,31-01-2025,S1,Gates Millennium Scholars Program,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa prestisius di Amerika Serikat yang ditujukan untuk mahasiswa minoritas yang memiliki prestasi akademik tinggi dan menunjukkan potensi kepemimpinan. Beasiswa ini mencakup seluruh biaya kuliah, biaya hidup, dan biaya buku."
35,Beasiswa Pendidikan Tinggi,01-02-2024,31-01-2025,S1,Gates Millennium Scholars Program,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa prestisius di Amerika Serikat yang ditujukan untuk mahasiswa minoritas yang memiliki prestasi akademik tinggi dan menunjukkan potensi kepemimpinan. Beasiswa ini mencakup seluruh biaya kuliah, biaya hidup, dan biaya buku."
36,Beasiswa Pengabdian Masyarakat,01-02-2024,31-01-2025,S1,Gates Millennium Scholars Program,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa prestisius di Amerika Serikat yang ditujukan untuk mahasiswa minoritas yang memiliki prestasi akademik tinggi dan menunjukkan potensi kepemimpinan. Beasiswa ini mencakup seluruh biaya kuliah, biaya hidup, dan biaya buku."
37,Beasiswa Pengabdian Masyarakat,01-02-2024,31-01-2025,S1,Gates Millennium Scholars Program,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa prestisius di Amerika Serikat yang ditujukan untuk mahasiswa minoritas yang memiliki prestasi akademik tinggi dan menunjukkan potensi kepemimpinan. Beasiswa ini mencakup seluruh biaya kuliah, biaya hidup, dan biaya buku."
38,Beasiswa Pengabdian Masyarakat,01-02-2024,31-01-2025,S1,Gates Millennium Scholars Program,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa prestisius di Amerika Serikat yang ditujukan untuk mahasiswa minoritas yang memiliki prestasi akademik tinggi dan menunjukkan potensi kepemimpinan. Beasiswa ini mencakup seluruh biaya kuliah, biaya hidup, dan biaya buku."
39,Beasiswa Pengabdian Masyarakat,01-02-2024,31-01-2025,S1,Gates Millennium Scholars Program,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa prestisius di Amerika Serikat yang ditujukan untuk mahasiswa minoritas yang memiliki prestasi akademik tinggi dan menunjukkan potensi kepemimpinan. Beasiswa ini mencakup seluruh biaya kuliah, biaya hidup, dan biaya buku."
40,Beasiswa Pengabdian Masyarakat,01-02-2024,31-01-2025,S1,Gates Millennium Scholars Program,"Mahasiswa teknik atau sains, GPA minimal 3.5, TOEFL/IELTS",USD 20.000/tahun,shell.scholarships@shell.com,"Beasiswa prestisius di Amerika Serikat yang ditujukan untuk mahasiswa minoritas yang memiliki prestasi akademik tinggi dan menunjukkan potensi kepemimpinan. Beasiswa ini mencakup seluruh biaya kuliah, biaya hidup, dan biaya buku."
41,Beasiswa Pendidikan,01-01-2024,31-01-2024,"S1, S2, S3",Lembaga Pengelola Dana Pendidikan (LPDP),"Warga negara Indonesia, IPK min 3.00",Rp 50.000.000 - Rp 100.000.000,lpdp@kemendikbud.go.id,"Lembaga pemerintah Indonesia yang mengelola dana beasiswa untuk warga negara Indonesia yang ingin melanjutkan studi di dalam atau luar negeri. Beasiswa LPDP mencakup berbagai jenis beasiswa, mulai dari S1 hingga S3, dan diberikan untuk berbagai bidang studi."
42,Beasiswa Prestasi,01-02-2024,28-02-2024,S1,Universitas Indonesia,"Prestasi akademik dan non-akademik, IPK min 3.00",Rp 10.000.000,beasiswa@ui.ac.id,"Beasiswa yang diberikan oleh Universitas Indonesia kepada mahasiswa berprestasi yang terdaftar sebagai mahasiswa aktif di UI. Beasiswa ini diberikan sebagai bentuk penghargaan atas prestasi akademik yang tinggi dan dapat mencakup biaya kuliah, biaya hidup, atau keduanya."
43,Beasiswa Magister,01-03-2024,31-03-2024,S2,Fulbright Program,Mahasiswa dengan prestasi akademik dan rekomendasi,USD 50.000,fulbright@state.gov,"Program pertukaran pelajar internasional yang didanai oleh pemerintah Amerika Serikat. Beasiswa Fulbright menawarkan kesempatan untuk belajar, mengajar, atau melakukan penelitian di Amerika Serikat. Beasiswa ini mencakup biaya hidup, biaya perjalanan, dan tunjangan lainnya."
44,Beasiswa Internasional,15-01-2024,15-03-2024,"S1, S2, S3",Erasmus Mundus,"IPK min 3.00, kemampuan bahasa Inggris",EUR 15.000 - EUR 50.000,info@erasmusmundus.org,"Program beasiswa yang didanai oleh Uni Eropa yang memungkinkan mahasiswa dari berbagai negara untuk belajar di konsorsium universitas di Eropa. Beasiswa ini mencakup biaya kuliah, biaya hidup, dan biaya perjalanan."
45,Beasiswa Pemerintah,01-04-2024,30-04-2024,S1,Pemerintah Jepang (Monbukagakusho/MEXT),"Warga negara Indonesia, nilai akademik baik, tes bahasa",JPY 1.000.000,info@japanembassy.org,"Beasiswa yang ditawarkan oleh pemerintah Jepang untuk mahasiswa internasional yang ingin melanjutkan studi di Jepang. Beasiswa ini mencakup biaya kuliah, biaya hidup, dan biaya perjalanan."
46,Beasiswa Profesional,01-05-2024,31-05-2024,"S2, S3",Chevening,"Prestasi akademik, pengalaman kerja, wawancara",GBP 18.000,chevening@britishcouncil.org,"Beasiswa pemerintah Inggris yang ditujukan untuk calon pemimpin global. Beasiswa Chevening menawarkan kesempatan untuk belajar di perguruan tinggi terbaik di Inggris. Beasiswa ini mencakup biaya kuliah, biaya hidup, dan tunjangan lainnya."
47,Beasiswa Pendidikan Tinggi,10-05-2024,30-06-2024,"S1, S2",Australia Awards,"IPK min 3.00, komitmen untuk kembali ke negara asal",AUD 30.000,awards@australiangovernment.gov.au,"Program beasiswa yang lebih luas dari Australia Awards Scholarships, mencakup berbagai jenis beasiswa dan program pelatihan."
48,Beasiswa Penelitian,01-06-2024,31-07-2024,S3,National Science Foundation,"Proposal penelitian, riwayat akademik, publikasi",USD 75.000,nsf@nsf.gov,"Lembaga pemerintah Amerika Serikat yang memberikan dana untuk penelitian dan pendidikan di bidang sains dan teknik. NSF tidak memberikan beasiswa secara langsung kepada individu, tetapi mendanai proyek penelitian yang melibatkan mahasiswa."
49,Beasiswa Pendidikan Tinggi,01-07-2024,31-08-2024,"S1, S2",Harvard University,"Prestasi akademik, kemampuan bahasa Inggris",USD 40.000,admissions@harvard.edu,Beasiswa yang ditawarkan oleh Universitas Harvard. Beasiswa ini sangat kompetitif dan diberikan kepada mahasiswa yang memiliki prestasi akademik yang luar biasa dan potensi kepemimpinan yang tinggi.
50,Beasiswa Olahraga,01-08-2024,30-09-2024,S1,Olympic Solidarity,"Prestasi olahraga, akademik baik",USD 20.000,info@olympics.org,"Organisasi yang memberikan bantuan keuangan kepada atlet dan Komite Olimpiade Nasional untuk mengembangkan olahraga di negara mereka. Olympic Solidarity tidak memberikan beasiswa secara langsung kepada individu, tetapi mendanai program pengembangan atlet."
51,Beasiswa Seni,01-09-2024,31-10-2024,"S1, S2",Getty Foundation,"Karya seni, portofolio, prestasi seni",USD 25.000,info@gettyfoundation.org,"Yayasan yang memberikan dana untuk pelestarian warisan budaya. Getty Foundation tidak memberikan beasiswa secara langsung kepada individu, tetapi mendanai proyek-proyek pelestarian warisan budaya."
52,Beasiswa Teknologi,01-10-2024,30-11-2024,"S1, S2",Google Scholarship Program,"IPK min 3.00, kemampuan teknis",USD 10.000,google.scholarships@google.com,Beasiswa yang ditawarkan oleh Google untuk mahasiswa yang berprestasi di bidang ilmu komputer. Beasiswa ini mencakup biaya kuliah dan biaya hidup.
53,Beasiswa Mahasiswa Berprestasi,01-11-2024,15-12-2024,S1,Kementerian Pendidikan dan Kebudayaan,"Prestasi akademik, partisipasi kegiatan",Rp 5.000.000,kemendikbud@kemendikbud.go.id,Beasiswa yang diberikan oleh pemerintah Indonesia melalui Kementerian Pendidikan dan Kebudayaan kepada mahasiswa berprestasi di berbagai perguruan tinggi negeri di Indonesia. Beasiswa ini mencakup biaya kuliah dan biaya hidup.
54,Beasiswa Kepemimpinan,01-01-2024,31-01-2024,S2,Young Southeast Asian Leaders Initiative (YSEALI),"Pengalaman kepemimpinan, prestasi akademik",USD 12.000,yseali@state.gov,"Program pertukaran pemuda yang diselenggarakan oleh pemerintah Amerika Serikat untuk memberikan kesempatan kepada pemuda di Asia Tenggara untuk mengembangkan keterampilan kepemimpinan dan jaringan mereka. YSEALI tidak memberikan beasiswa dalam bentuk uang tunai, tetapi menyediakan berbagai program pelatihan dan pertukaran."
55,Beasiswa Inovasi,01-02-2024,28-02-2024,"S1, S2",Massachusetts Institute of Technology (MIT) Innovation,"Proposal inovasi, rekam jejak akademik dan profesional",USD 15.000,innovation@mit.edu,MIT menawarkan berbagai jenis beasiswa untuk mahasiswa yang berprestasi di bidang sains dan teknologi. Beasiswa ini sangat kompetitif dan diberikan kepada mahasiswa yang memiliki potensi untuk menjadi inovator di bidang mereka.
56,Beasiswa Pengabdian Masyarakat,01-03-2024,31-03-2024,"S1, S2",Community Foundation,"Kegiatan pengabdian masyarakat, prestasi akademik",Rp 7.500.000,community@foundation.org,"Yayasan komunitas yang memberikan dana untuk berbagai program sosial, termasuk pendidikan. Community Foundation tidak memberikan beasiswa secara langsung kepada individu, tetapi mendanai program-program yang memberikan manfaat bagi masyarakat."
57,Beasiswa Pengembangan Karir,01-04-2024,30-04-2024,"S2, S3",LinkedIn Learning,"Pengalaman kerja, rencana pengembangan karir",USD 10.000,learning@linkedin.com,Beasiswa yang ditawarkan oleh LinkedIn Learning untuk membantu individu mengembangkan keterampilan profesional mereka. Beasiswa ini diberikan dalam bentuk akses gratis ke kursus-kursus online.
58,Beasiswa Pelatihan,01-05-2024,31-05-2024,"S1, S2",Coursera,"Sertifikat pelatihan, prestasi akademik",USD 5.000,info@coursera.org,Platform pembelajaran online Coursera menawarkan berbagai jenis beasiswa untuk membantu individu mendapatkan akses ke pendidikan berkualitas. Beasiswa ini diberikan dalam bentuk akses gratis ke kursus-kursus online.
59,Beasiswa Pendidikan Tinggi,10-05-2024,30-06-2024,"S1, S2",University of Oxford,"Prestasi akademik, IPK min 3.00",GBP 25.000,admissions@ox.ac.uk,Beasiswa yang ditawarkan oleh Universitas Oxford. Beasiswa ini sangat kompetitif dan diberikan kepada mahasiswa yang memiliki prestasi akademik yang luar biasa dan potensi kepemimpinan yang tinggi.
60,Beasiswa Penelitian Lanjutan,01-06-2024,31-07-2024,S3,Wellcome Trust,"Proposal penelitian, rekam jejak publikasi",GBP 100.000,info@wellcome.ac.uk,"Organisasi yang memberikan dana untuk penelitian di bidang kesehatan. Wellcome Trust tidak memberikan beasiswa secara langsung kepada individu, tetapi mendanai proyek-proyek penelitian di bidang kesehatan."
